,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
27,SDSSXCS-19467,0.6641,0.1026,55.2412,3.9453,0.2449,0.02,-22.077
28,SDSSXCS-2,0.6517,0.105,55.09,4.035,0.2461,0.0201,-21.683
29,SDSSXCS-2032,0.6567,0.1028,55.3715,3.999,0.2462,0.0201,-21.661
30,SDSSXCS-209,0.6504,0.103,54.8665,3.9501,0.245,0.0201,-22.049
31,SDSSXCS-21,0.654,0.1035,55.1521,4.0083,0.2462,0.0201,-21.642
32,SDSSXCS-210,0.6727,0.1005,56.3429,3.9624,0.2396,0.0196,-23.769
33,SDSSXCS-212,0.6599,0.1027,55.62,4.0166,0.2454,0.0201,-21.91
34,SDSSXCS-22,0.6951,0.0961,57.4303,3.8429,0.2257,0.0191,-28.162
35,SDSSXCS-226,0.6511,0.1028,54.8539,3.9576,0.245,0.02,-22.027
36,SDSSXCS-2282,0.6346,0.1012,55.5062,3.8897,0.24,0.0198,-23.634
37,SDSSXCS-2288,0.6598,0.1028,55.2023,3.9662,0.246,0.0201,-21.727
38,SDSSXCS-23,0.6508,0.1035,55.423,3.9739,0.2454,0.0201,-21.905
39,SDSSXCS-2347,0.6581,0.1034,55.2802,3.9808,0.2462,0.0201,-21.663
40,SDSSXCS-236,0.6576,0.103,55.3556,4.0032,0.2462,0.0201,-21.638
41,SDSSXCS-239,0.656,0.1032,55.196,3.9976,0.2458,0.0201,-21.769
42,SDSSXCS-2789,0.6735,0.102,55.1278,3.9066,0.2422,0.0199,-22.923
43,SDSSXCS-2836,0.6726,0.1032,55.2793,3.944,0.2444,0.02,-22.222
44,SDSSXCS-286,0.6505,0.1027,54.8755,3.9398,0.245,0.0201,-22.035
45,SDSSXCS-29,0.6436,0.1037,54.6902,3.9608,0.2448,0.0201,-22.091
46,SDSSXCS-290,0.666,0.1026,55.8938,4.0218,0.2442,0.02,-22.295
47,SDSSXCS-298,0.6582,0.1031,55.4448,4.0064,0.2461,0.0201,-21.683
48,SDSSXCS-2984,0.6562,0.1038,55.3476,3.9939,0.246,0.0201,-21.709
49,SDSSXCS-3,0.6542,0.1044,55.1699,4.0208,0.2461,0.0201,-21.672
50,SDSSXCS-309,0.6594,0.1022,55.648,3.9874,0.245,0.02,-22.04
51,SDSSXCS-31,0.6475,0.1034,54.8795,3.9775,0.2454,0.0201,-21.893
52,SDSSXCS-314,0.657,0.103,55.2468,4.0017,0.2462,0.0202,-21.642
53,SDSSXCS-32,0.6642,0.1027,55.7572,4.0201,0.2447,0.02,-22.126
54,SDSSXCS-325,0.6579,0.1019,55.7508,3.9795,0.2438,0.02,-22.406
55,SDSSXCS-3312,0.659,0.1025,55.317,3.9566,0.2453,0.02,-21.933
56,SDSSXCS-34,0.6614,0.1048,55.3441,3.9851,0.2461,0.0201,-21.674
57,SDSSXCS-3672,0.6543,0.1028,55.4666,3.9833,0.2454,0.02,-21.894
58,SDSSXCS-382,0.6593,0.1025,55.1466,3.9592,0.2457,0.0201,-21.816
59,SDSSXCS-395,0.6615,0.1028,55.6301,4.0095,0.2456,0.0201,-21.848
60,SDSSXCS-4003,0.6628,0.1036,55.3082,3.9599,0.246,0.0201,-21.723
61,SDSSXCS-408,0.6576,0.1028,55.3123,3.9871,0.2462,0.0201,-21.651
62,SDSSXCS-41,0.6606,0.1041,55.4681,4.047,0.2462,0.0201,-21.663
63,SDSSXCS-43,0.6551,0.1035,55.2018,4.0066,0.2463,0.0201,-21.62
64,SDSSXCS-455,0.6557,0.1032,55.1376,3.9855,0.246,0.0201,-21.726
65,SDSSXCS-457,0.6608,0.1025,55.1431,3.9544,0.2455,0.0201,-21.884
66,SDSSXCS-480,0.6578,0.1028,55.1669,3.9616,0.246,0.0201,-21.729
67,SDSSXCS-487,0.6465,0.1032,54.757,3.9576,0.2447,0.02,-22.129
68,SDSSXCS-5,0.6882,0.1029,56.5912,4.0646,0.2414,0.0199,-23.195
69,SDSSXCS-5020,0.6644,0.1027,55.3136,3.9555,0.2452,0.02,-21.961
70,SDSSXCS-51,0.6586,0.104,55.3767,4.0331,0.2462,0.0201,-21.64
71,SDSSXCS-5159,0.6827,0.1028,55.3902,3.9247,0.243,0.0198,-22.676
72,SDSSXCS-5225,0.6523,0.1029,55.342,3.9614,0.2457,0.0201,-21.822
73,SDSSXCS-55,0.6563,0.103,55.2612,4.0026,0.2463,0.0201,-21.624
74,SDSSXCS-5527,0.6593,0.1037,55.3183,3.969,0.2459,0.0201,-21.739
75,SDSSXCS-572,0.6572,0.103,55.3608,3.9959,0.2461,0.0201,-21.671
76,SDSSXCS-574,0.6591,0.1028,55.191,3.9678,0.2458,0.0201,-21.797
77,SDSSXCS-575,0.6568,0.103,55.2946,3.9827,0.2462,0.0201,-21.64
78,SDSSXCS-5830,0.6306,0.103,55.2587,3.9165,0.2424,0.0199,-22.852
79,SDSSXCS-586,0.6613,0.101,56.0148,3.9541,0.2411,0.0197,-23.292
80,SDSSXCS-593,0.6545,0.1025,55.4864,3.9842,0.2455,0.0201,-21.879
81,SDSSXCS-6,0.6714,0.1041,55.8816,4.0681,0.2453,0.02,-21.939
82,SDSSXCS-64824,0.646,0.1041,55.2739,3.9472,0.2454,0.0201,-21.899
83,SDSSXCS-65,0.6441,0.1012,54.4766,3.872,0.2417,0.0198,-23.096
84,SDSSXCS-667,0.6561,0.1021,54.9492,3.9415,0.2447,0.02,-22.128
85,SDSSXCS-68,0.6539,0.1038,55.1569,4.001,0.2462,0.0201,-21.665
86,SDSSXCS-6955,0.6283,0.1008,55.4212,3.869,0.2386,0.0195,-24.074
87,SDSSXCS-71,0.6584,0.1031,55.3621,4.0098,0.2462,0.0201,-21.641
88,SDSSXCS-7416,0.6393,0.1018,55.4758,3.9181,0.2421,0.0198,-22.967
89,SDSSXCS-7432,0.6475,0.1022,55.489,3.9511,0.2443,0.02,-22.243
90,SDSSXCS-75,0.6527,0.1032,55.0866,3.9789,0.2453,0.02,-21.932
91,SDSSXCS-765,0.6571,0.1034,55.325,3.9588,0.246,0.0201,-21.717
92,SDSSXCS-7783,0.6583,0.1037,55.2917,3.9762,0.2463,0.0201,-21.629
93,SDSSXCS-78,0.6548,0.1031,55.1552,3.9805,0.2462,0.0201,-21.664
94,SDSSXCS-8060,0.6983,0.1021,55.4525,3.8812,0.2387,0.0197,-24.056
95,SDSSXCS-852,0.6602,0.1026,55.1208,3.9602,0.2452,0.0201,-21.958
96,SDSSXCS-890,0.6588,0.1027,55.0498,3.9517,0.245,0.02,-22.027
97,SDSSXCS-893,0.6565,0.1012,54.7326,3.8794,0.2415,0.0198,-23.143
98,SDSSXCS-9,0.6796,0.1026,56.3188,4.0505,0.2427,0.0199,-22.776
99,SDSSXCS-907,0.652,0.102,54.8254,3.916,0.2441,0.02,-22.315
100,SDSSXCS-9258,0.6483,0.1042,55.2974,3.9505,0.2456,0.0201,-21.856
101,SDSSXCS-9313,0.6664,0.1035,55.332,3.9682,0.2457,0.0201,-21.81
102,SDSSXCS-944,0.6611,0.1028,55.1442,3.9546,0.2454,0.0201,-21.898
103,SDSSXCS-9803,0.6625,0.1041,55.3298,3.9661,0.2461,0.0201,-21.697
