dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
SDSSXCS-23,0.668,0.0887,1.9059,0.1219,0.2024,0.0181,0.425
SDSSXCS-2347,0.6783,0.0888,1.8988,0.1218,0.202,0.0182,0.256
SDSSXCS-236,0.6726,0.0887,1.9045,0.1226,0.203,0.0182,0.74
SDSSXCS-239,0.6717,0.0891,1.9008,0.1231,0.203,0.0182,0.753
SDSSXCS-2789,0.6813,0.0886,1.8998,0.121,0.2017,0.0181,0.1
SDSSXCS-2836,0.6913,0.0888,1.904,0.1208,0.2002,0.018,-0.673
SDSSXCS-286,0.6688,0.0891,1.8944,0.1229,0.2027,0.0182,0.576
SDSSXCS-29,0.6511,0.0887,1.8706,0.1208,0.1996,0.018,-0.953
SDSSXCS-290,0.6769,0.0889,1.9129,0.1236,0.2022,0.0181,0.365
SDSSXCS-298,0.6723,0.0887,1.902,0.1232,0.2031,0.0182,0.781
SDSSXCS-309,0.6724,0.0888,1.9028,0.1231,0.2031,0.0182,0.777
SDSSXCS-31,0.6586,0.0889,1.8809,0.1217,0.2015,0.0181,-0.022
SDSSXCS-314,0.6758,0.0882,1.9163,0.1227,0.2012,0.0181,-0.134
SDSSXCS-32,0.6872,0.0865,1.9382,0.1217,0.1968,0.0176,-2.317
SDSSXCS-325,0.6733,0.088,1.914,0.1229,0.2015,0.0182,0.018
SDSSXCS-3312,0.6793,0.0889,1.9001,0.1217,0.2018,0.0181,0.132
SDSSXCS-34,0.6689,0.0905,1.9022,0.1223,0.2028,0.0182,0.621
SDSSXCS-3672,0.6693,0.0884,1.9099,0.1224,0.2017,0.0181,0.114
SDSSXCS-382,0.6723,0.0889,1.904,0.1231,0.203,0.0182,0.719
SDSSXCS-395,0.6732,0.089,1.9048,0.1237,0.203,0.0182,0.747
SDSSXCS-4003,0.6875,0.0886,1.9028,0.1209,0.2009,0.0181,-0.3
SDSSXCS-41,0.6686,0.0903,1.8972,0.1242,0.203,0.0182,0.74
SDSSXCS-455,0.675,0.0887,1.911,0.1233,0.2024,0.0181,0.427
SDSSXCS-457,0.6702,0.0887,1.9059,0.1226,0.2026,0.0182,0.518
SDSSXCS-487,0.6666,0.0892,1.8921,0.1229,0.2025,0.0181,0.5
SDSSXCS-5,0.6849,0.0903,1.9215,0.1256,0.202,0.0182,0.258
SDSSXCS-5020,0.6884,0.0888,1.903,0.121,0.2006,0.018,-0.435
SDSSXCS-51,0.6663,0.0897,1.8924,0.1234,0.2027,0.0182,0.591
SDSSXCS-5159,0.6878,0.0897,1.9056,0.1218,0.2016,0.0181,0.068
SDSSXCS-5225,0.6589,0.088,1.9102,0.1208,0.1993,0.018,-1.094
SDSSXCS-55,0.665,0.0884,1.8859,0.1218,0.2013,0.0181,-0.081
SDSSXCS-5527,0.675,0.0898,1.9035,0.1226,0.203,0.0182,0.763
SDSSXCS-572,0.674,0.0888,1.908,0.1235,0.2028,0.0182,0.647
SDSSXCS-574,0.675,0.0882,1.8937,0.1214,0.2015,0.0181,-0.018
SDSSXCS-575,0.6723,0.0884,1.9131,0.1225,0.2016,0.0181,0.043
SDSSXCS-5830,0.6624,0.0896,1.9023,0.122,0.2018,0.0181,0.151
SDSSXCS-586,0.6775,0.087,1.9254,0.1212,0.1984,0.0176,-1.552
SDSSXCS-593,0.6683,0.0877,1.9154,0.1213,0.1999,0.018,-0.777
SDSSXCS-6,0.6808,0.0907,1.9147,0.1255,0.2025,0.0182,0.513
SDSSXCS-64824,0.6643,0.0891,1.9023,0.1216,0.2017,0.018,0.114
SDSSXCS-65,0.6636,0.0885,1.8836,0.1214,0.2008,0.0181,-0.335
SDSSXCS-68,0.6668,0.0894,1.8927,0.1232,0.2026,0.0181,0.557
SDSSXCS-6955,0.663,0.0889,1.9053,0.1218,0.2014,0.0181,-0.067
SDSSXCS-71,0.6875,0.0871,1.9349,0.1227,0.1983,0.0178,-1.61
SDSSXCS-7416,0.6551,0.087,1.9112,0.1196,0.1972,0.0176,-2.127
SDSSXCS-7432,0.6701,0.0891,1.9044,0.1224,0.2028,0.0182,0.624
SDSSXCS-75,0.6728,0.0891,1.9037,0.1235,0.2028,0.0182,0.659
SDSSXCS-765,0.6759,0.0896,1.9033,0.1225,0.2028,0.0182,0.616
SDSSXCS-7783,0.6798,0.0896,1.9021,0.1221,0.2024,0.0181,0.451
SDSSXCS-78,0.6681,0.0884,1.8904,0.1218,0.202,0.0182,0.233
SDSSXCS-8060,0.7028,0.0885,1.9099,0.1204,0.1981,0.0179,-1.685
SDSSXCS-890,0.672,0.0886,1.9068,0.1229,0.2028,0.0183,0.642
SDSSXCS-893,0.6714,0.0878,1.8905,0.1205,0.2011,0.018,-0.19
SDSSXCS-9,0.6901,0.0886,1.9324,0.1245,0.2002,0.018,-0.652
SDSSXCS-907,0.6695,0.0889,1.8947,0.1224,0.2026,0.0182,0.561
SDSSXCS-9258,0.6722,0.0899,1.9028,0.1221,0.2029,0.0182,0.674
SDSSXCS-9313,0.6731,0.0899,1.903,0.1225,0.2029,0.0182,0.706
SDSSXCS-944,0.6695,0.0883,1.9111,0.1219,0.2014,0.0181,-0.041
SDSSXCS-9803,0.686,0.0897,1.9046,0.1218,0.202,0.0181,0.234
